,var1(t-10),var2(t-10),var3(t-10),var4(t-10),var5(t-10),var6(t-10),var7(t-10),var8(t-10),var9(t-10),var10(t-10),var1(t-9),var2(t-9),var3(t-9),var4(t-9),var5(t-9),var6(t-9),var7(t-9),var8(t-9),var9(t-9),var10(t-9),var1(t-8),var2(t-8),var3(t-8),var4(t-8),var5(t-8),var6(t-8),var7(t-8),var8(t-8),var9(t-8),var10(t-8),var1(t-7),var2(t-7),var3(t-7),var4(t-7),var5(t-7),var6(t-7),var7(t-7),var8(t-7),var9(t-7),var10(t-7),var1(t-6),var2(t-6),var3(t-6),var4(t-6),var5(t-6),var6(t-6),var7(t-6),var8(t-6),var9(t-6),var10(t-6),var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var8(t-5),var9(t-5),var10(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var8(t-4),var9(t-4),var10(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var8(t-3),var9(t-3),var10(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t)
10,1.0,0.03501462,67.0,22.28,52.82,0.0,1.0,0.0,1.0,0.0,2.0,0.03804111,77.0,22.32,60.94,0.0,1.0,0.0,1.0,0.0,3.0,0.041329194,83.0,26.1,81.27,0.0,1.0,0.0,1.0,0.0,4.0,0.044901484000000005,85.0,23.08,65.71,0.0,1.0,0.0,1.0,0.0,5.0,0.048782544000000004,85.0,22.64,62.41,0.0,1.0,0.0,1.0,0.0,6.0,0.052999065,81.0,20.3,47.66,0.0,1.0,0.0,1.0,0.0,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0
11,2.0,0.03804111,77.0,22.32,60.94,0.0,1.0,0.0,1.0,0.0,3.0,0.041329194,83.0,26.1,81.27,0.0,1.0,0.0,1.0,0.0,4.0,0.044901484000000005,85.0,23.08,65.71,0.0,1.0,0.0,1.0,0.0,5.0,0.048782544000000004,85.0,22.64,62.41,0.0,1.0,0.0,1.0,0.0,6.0,0.052999065,81.0,20.3,47.66,0.0,1.0,0.0,1.0,0.0,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0
12,3.0,0.041329194,83.0,26.1,81.27,0.0,1.0,0.0,1.0,0.0,4.0,0.044901484000000005,85.0,23.08,65.71,0.0,1.0,0.0,1.0,0.0,5.0,0.048782544000000004,85.0,22.64,62.41,0.0,1.0,0.0,1.0,0.0,6.0,0.052999065,81.0,20.3,47.66,0.0,1.0,0.0,1.0,0.0,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0
13,4.0,0.044901484000000005,85.0,23.08,65.71,0.0,1.0,0.0,1.0,0.0,5.0,0.048782544000000004,85.0,22.64,62.41,0.0,1.0,0.0,1.0,0.0,6.0,0.052999065,81.0,20.3,47.66,0.0,1.0,0.0,1.0,0.0,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0
14,5.0,0.048782544000000004,85.0,22.64,62.41,0.0,1.0,0.0,1.0,0.0,6.0,0.052999065,81.0,20.3,47.66,0.0,1.0,0.0,1.0,0.0,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0
15,6.0,0.052999065,81.0,20.3,47.66,0.0,1.0,0.0,1.0,0.0,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0
16,7.0,0.05758004,76.0,21.31,47.93,0.0,1.0,0.0,1.0,0.0,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0
17,8.0,0.062556972,87.0,22.32,49.38,0.0,1.0,0.0,1.0,0.0,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0
18,9.0,0.067964085,72.0,23.33,67.23,0.0,1.0,0.0,1.0,0.0,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0
19,10.0,0.073838562,75.0,25.09,83.94,0.0,1.0,0.0,1.0,0.0,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0
